 Ranged, Magical
 Ranged, Physical
 Ranged, Magical
 Ranged, Magical
 Ranged, Magical
 Ranged
 Melee, Physical
 Melee, Magical
 Ranged, Physical
 Magical, Melee
 Melee, Magical
 Melee, Physical
 Melee, Physical
 Ranged, Magical
 Ranged, Physical
 Melee, Physical
 Melee, Magical
 Melee, Magical
 Ranged, Magical
 Ranged, Magical
 Ranged, Magical
 Melee, Physical
 Melee, Physical
 Ranged, Magical
 Melee, Physical
 Melee, Physical
 Physical, Melee
 Ranged, Physical
 Melee, Physical
 Ranged, Magical
 Ranged, Magical
 Melee, Magical
 Melee, Physical
 Melee, Physical
 Melee, Magical
 Ranged, Physical
 Melee, Magical
 Ranged, Magical
